seq_len,architecture,train_mse,test_mse
10,[64],0.06037184926776253,0.13190552455430127
10,"[128, 64]",0.04499197386357249,0.19294570910991454
10,"[256, 128, 64]",0.04152355115024411,0.1719205565750599
30,[64],0.04282101179111977,0.1571231148376757
30,"[128, 64]",0.04012492166033813,0.15709943529598566
30,"[256, 128, 64]",0.034406425469383904,0.06710955770496203
60,[64],0.033500759349185595,0.04689854016641573
60,"[128, 64]",0.03254355398976073,0.0390059801616839
60,"[256, 128, 64]",0.033715431521437605,0.03245550682958292
